Source_Ja	Target_En	Translation_En_Ours	Human_Score_A	Human_Score_B	
そしたら、田中さんがカタログを仕上げられるよね。	Then Tanaka-san will be able to finish the catalog, right?	Then you can finish your catalogue, right?			
はい、助かります。	Yes, that would be great.	Yes, that would be great.			
うん、カタログは我々の最優先事項だからね。	Yeah, the catalog is our top priority.	Yes, catalogue is our priority.			
そうですね。	Yeah.	Yes is.			
では、よろしくお願いします。	Okay, I'll leave that to you.	So please.			
うん、また連絡するよ。	Yeah, I'll contact you later.	Yes, I will contact you again.			
お電話ありがとうございます、M信託銀行証券代行部の渋谷でございます。	Thank you for calling, my name is Shibuya from Trust Company M, Transfer Agent Department.	Thank you for calling, I am in the can live in the M Trust Bank of the securities department.			
いつもお世話になっております、I社の高田です。	Thank you as always, I am Takada from Company I.	Hello, this is Takada from Company I.			
高田様、いつもお世話になっております。	Mr. Takada, thank you as always.	Mr. Takada, I'm always taking care of you.			
すみません、能勢さんはご在席ですか？	Sorry, is Nose-san at his seat?	Sorry, is Mr. Nose there?			
能勢でございますね、少々お待ちください。	You would like to speak to Nose-san, please hold wait a moment.	It is Nose, please wait a little.			
お電話代わりました、能勢です。	Thank you for holding, this is Nose.	I am calling you, I am a power.			
あ、能勢さん、高田です。	Oh, Nose-san, this is Takada.	Oh, Nose-san, this is Takada.			
昨日はすみません、外出中でお電話に出れませんで。	Sorry about yesterday, I couldn't pick up the phone as I was out.	Sorry, I can’t answer the phone during the trip yesterday.			
いや、大丈夫。	No, it's okay.	No, it is okay.			
お願いしていた資料、送ってくれてありがとうございました。	Thank you for sending the documents I asked for.	Thank you for sending me the documents you asked me.			
助かりましたよ。	It was helpful.	I helped.			
あれでよかった？	Was that good enough?	Is it good for that?			
概略を理解するには十分でしたよ。	It was enough to get a general understanding.	It was enough to understand the summary.			
でも、ちょっと具体的に経営陣に話を進めるとなると、少々心もとなくて。	But I'm not that confident when it comes to actually proceeding with discussions with the management team.	But if we go over to the management, I don't think of any of them.			
電話で相談するには際どい内容ですから、直接お会いできませんか？	The content is pretty tricky to discuss over the phone so would it be possible to meet in person?	It is very useful to consult with you, so can you meet me directly?			
構わないよ。	That's fine.	It doesn’t matter.			
急で恐縮ですが、今週中にどこかお時間いただけませんか？	Apologies for the sudden request but could you give me some of your time sometimes this week?	Sorry for urgent, but can you take some time this week?			
明日の午後なら御社に伺えるけど、都合はどう？	I can visit your office if it's tomorrow afternoon, does that work with you?	I can go to your office tomorrow afternoon, but what about the schedule?			
じゃあ、１３時に弊社でいかがでしょう？	Okay, how about 1 o'clock in the afternoon at our office.	So what about you at the company at 2 o'clock?			
了解。	Okay.	Okay.			
ちょっとメールでは送れなかった資料も持っていくよ。	I will also bring some materials that I can't really send by email.	I will bring you the documents you can’t send in the email.			
助かります、お会いするまでに相談したいことも整理しておきますよ。	That will be helpful, I will also review what I want to discuss about by the time we meet.	I will help, I will do something I want to consult until I meet you.			
それでは、明日、お待ちしております。	Okay, I will wait for you tomorrow.	So, I will wait for you tomorrow.			
了解、それじゃあ、失礼します。	Okay, alright then, bye now.	Okay, I apologize.			
お電話ありがとうございます、I社の野田でございます。	Thank you for calling company I, this is Noda speaking.	Thank you for calling, this is Noda from Company I.			
おはようございます、営業部の今井ですが、阿川部長はお席におられますか？	Good morning, this is Imai from sales department, is Mr. Akawa available right now?	Good Morning, I’m in the sales department, but do you think Akawa’s seat?			
おはようございます、少々お待ちください。	Good morning, hold on one second please.	Good Morning, please wait a little.			
はい、阿川です。	Hello, this is Akawa.	Yes, this is Agawa.			
おはようございます、今井です。	Good morning, this is Imai.	Good Morning, I am now.			
おはよう、どうした？	Good morning, what's going on?	Good Morning, what happened?			
すみません、昨晩から発熱しまして、今朝も熱が下がりません。	I am so sorry to tell you this, I came down with a fever last night and it hasn't broken yet.	Sorry, I got fever from last night and my fever went down.			
頭痛もひどいので、今日は休ませていただきたいのですが。	I have a terrible headache too, and I am wondering if I can take today off.	I'd like you to take your headache off today.			
大丈夫なの？	Are you alright?	Is it okay?			
時期が時期だし、インフルエンザに罹った？	You know it's the flu season, do you think you came down with it?	It's time, and did you get flu?			
数日前に息子がインフルエンザを発症したので、もしかしたらそうかもしれません。	My son was sick with the flu a few days ago, it is possible.	My son has a flu a few days ago, so it may be so.			
今日、病院に行ってきます。	I am about to go to the clinic.	I'm going to the hospital today.			
インフルエンザだったら、しっかり直してから出社してもらいたいし。	If you have the flu, I need you to get completely better before coming back to work.	If it's a flu, I want you to come to work.			
会社のガイドラインで、発症後５日、解熱後２日で出社可になっていると思う。	According to our company policy, you can come back 5 days after the onset of the sickness and you have been fever free for 2 days.	The company’s guidelines will be able to work in two days after the beginning of the beginning of the's yourself.			
わかりました。	I understand.	I realized.			
診察結果はまた連絡してもらえるかな？	Can you call me back about the diagnosis later?	Can you contact me again the detailed examination results?			
了解しました、ご迷惑をお掛けします。	I sure will, and I apologize for the inconvenience my absence may cause.	I know, I will bother you.			
大丈夫だよ、お大事にして。	Don't you worry about that, take care.	OK, take care of it.			
ところで、今日取り急ぎの案件はあるかな？	By the way do you have any urgent appointments?	By the way, do you have any urgent projects today?			
１件、A社の山田さんとアポイントメントがあります。	I have one, an appointment with Mr. Yamada from company A.	There are also an appointment with Yamada and a.			
私が先方に伺う予定だったのですが。	I was supposed to go visit him.	I was planning to go to the previous side.			
リスケジュールできるものなのか、それとも代理で先方に伺った方がいい？	Can it be rescheduled or do we need to send a someone else there?	Is it possible to schedule it or should I ask the agent?			
そこまで急ぎの案件ではなく、情報収集を兼ねたご相談ですので、スケジュール変更で大丈夫です。	It is not that urgent, just a meeting to gather and exchange information, so it can be rescheduled.	It's not a rush issue, but we've been able to collect information, so it's okay to change the schedule.			
了解、先方には私から事情を連絡しておくよ。	Ok, I will let them know about your situation.	I will contact you first.			
お手数をお掛けします。	I appreciate you doing that for me.	I will take your call.			
気にしないで養生してね。	Don't worry, just get better.	Don't worry about it, you'll be no longer in your			
ありがとうございます、何かあったらご連絡お願いします。	Thank you so much, and please call me if something changes.	Thank you, please contact me if something happens.			
了解、お大事にね。	I got it, take care.	Okay, take care.			
はい、失礼します。	Ok, talk to you later.	Yes, I apologize.			
友井部長、お忙しいところすみません、ちょっとよろしいでしょうか？	Tomoi-san, sorry for bothering you but do you have a moment?	My friend, I'm sorry for your busy schedule, do you have a moment?			
あ、野田さん、どうしたの？	Oh, Noda-san, what's wrong?	Oh, Noda-san, what happened?			
今、私の携帯電話に息子が通っている保育園から電話がありまして。	I got a call from the preschool that my son goes to on my cell phone just now.	I just got a call from my mobile phone and my son is going to the garden.			
息子が急に発熱したそうで、すぐに迎えに来て欲しいと。	It seems my son suddenly got a fever and they are asking me to pick him up right away.	My son suddenly got a fever and he wants me to come soon.			
本日これで早退させて頂きたいのですが、よろしいでしょうか？	I'd like to call it a day and leave now for today but is that okay?	I want to leave this quickly today, but do you have a good time?			
それは当然だよ、急いで迎えに行ってあげて。	Of course, hurry up and go pick him up.	That's a matter of course, you should go to the business of course			
ありがとうございます、ご迷惑をお掛けします。	Thank you very much and sorry for the inconvenience.	Thank you, I will bother you.			
帰る前に、今日明日の予定を確認しておきたいんだけど。	I'd like to check the schedule for today and tomorrow before you leave.	I want to check my schedule today before I go home.			
特に代理で引き継いでおくこととか、ある？	Do you need to handover any tasks in particular?	Do you have any things that you will be able to take over?			
息子さんが今日から発熱したなら、明日の出社が難しいかもしれないでしょ？	If your son got a fever today, it might be hard for you to come to work tomorrow, right?	If your son was really fever from today, it might be difficult to start the company, right?			
お気遣いありがとうございます。	Thank you for your consideration.	Thank you for your care.			
今日は社内での事務作業のみで、急ぎの案件はありません。	I just have admin work to do at the office today so I don't have anything that has to be done right away.	We are only working in the office today and we are not able to do this urgent job.			
明日は、持株会関連業務で、M証券さんのご担当者が来社予定です。	The person in charge at Securities Company M plans on coming to our office tomorrow in regards to work related to stock ownership plan.	Tomorrow, in the related business, the M and the company will be in charge of the M.			
その予定、急ぎじゃないなら、来社予定を変更してもらった方がいい？	If that appointment isn't in a rush, why don't you reschedule the meeting?	If it's not urgent, should we change the schedule from the company?			
私から日程変更のご連絡をしておきます。	I will contact them to change the date.	I will contact you with the schedule change.			
じゃあ、それだけ頼んでもいいかな。	Then can I just ask you to do that?	So can I ask you that?			
もちろんです。	Of course.	of course.			
他は大丈夫そう？	Is everything else okay?	Is there anything else okay?			
特にないと思います。	Nothing in particular I think.	I don't think so.			
了解、お大事にね。	Okay, take care.	Okay, take care.			
ありがとうございます、それではこれで失礼します。	Thank you very much, I'll be leaving now.	Thank you, so I apologize for this.			
それでは、第2回のミーティングを始めたいと思います。	I'd like to now begin the second meeting.	So I want to start the second meeting.			
宜しくお願いします。	Thank you.	Welcome to.			
みんな、輸出へのプランを考えてきてくれましたか？	Did everyone think about an exporting plan?	Have you all thought about the export plan?			
考えてきたんですが、初めてのことなので中々難しかったです。	I did think about it but it was pretty hard as it was my first time.	I’ve thought it was the first time, so it was difficult.			
では、小宮君からお願いしてもいいですか？	Okay, can we start with you, Komiya-kun?	Can I ask you?			
はい、分かりました。	Yes, okay.	Yes, I understand it.			
僕はやはり初回の実験的な輸出であるということから、シンガポールに住む日本人をターゲットとした今日本で販売している商品の輸出が良いのではないかと思います。	I still think the first trial export should target Japanese people living in Singapore and export the products we sell in Japan today would be good.	I think it’s a very interesting export of the Japanese people who live in Singapore because it’s the first time.			
なるほど。	I see.	I see.			
日本人をターゲットにするということで、今ある既存の商品をそのまま輸出することができます。	By targeting Japanese people, we can simply export the existing products that we have.	If we are targeting Japanese people, we can export the existing products as is.			
現地の日本人が集まりやすい場所に販売箇所を絞ることで、経費も削減できると考えます。	If we narrow down our sales point to places where Japanese people tend to gather in the local area, we should be able to reduce our expenses too.	If we narrow the local Japanese people down the sales space that is easy to gather, we think the cost can be reduced.			
私も小宮さんの意見に賛成です。	I agree with Komiya-san's idea.	I agree with the opinion of Mr. Ko popular.			
村田さんの案も聞かせてもらえますか？	Can you tell us about your idea too, Murata-san?	Can you tell me the idea of Mr. Tatiana?			
私もまずは現地に住んでいる日本人をターゲットにしてみてはどうかと思います。	I think we should first target Japanese people living locally as well.	I think I’m going to target the Japanese people who live in the area.			
狭い国なので、日本人がよく行くスーパーに協力してもらって販売するのが一番現実的かと思います。	It's a small country so I think if we can get supermarkets where Japanese people go often to cooperate with us and sell through there will be the most realistic.	It is a small country, so I think it’s the best way to sell it to the supermarket.			
佐藤部長、質問です。	Sato-san, I have a question.	Mr. Sato, this is a question.			
小林君、どうしましたか？	What is it, Kobayashi-kun.	Mr. Ms. Ms. perfect.			
このチームはまだただの有志の集まりで正式なチームではないと思うのですが、予算はありますか？	This team is still formed with volunteers and is not an official team but do we have a budget?	I think this team is still a regular team, but do you have the budget?			
今後の方向性次第で社長と総務に直談判する形になると思います。	I think it will depend on the direction we take from now and have the president and the general affairs department decide.	It will be a form of a direct meeting with the president and the general department.			
でしたら、実際に自分たちがシンガポールに行って、現地調査を兼ねたサンプル配布を行うことは可能でしょうか？	If that is the case, will it be possible for us to go to Singapore and do field research as well as distributing samples?	Then, can we actually go to Singapore and distribute samples that are local?			
現地でどの様なものが売れているのか、今後の参考にしたいですし、日本人以外にもサンプルを直接配ることで現地の生の声が聞いてみたいです。	I'd like to learn about what kind of things are sold locally for future reference, and listen to the actual comments of locals by distributing samples directly to non-Japanese people.	I want to be sure which one is selling, and I want to be able to give it more samples from the Japanese side to the local branch.			
それはいい考えですね、私も賛成です。	That's a good idea, I'm in favor of that.	That's a good idea, I agree with you too.			
僕も賛成です。	I'm in favor of that too.	I agree with you too.			
なるほど、私もいい考えだと思います。	I see, I think that's a good idea as well.	I think that's a good idea too.			
では、このプランをベースに社長と総務を納得させることができるような計画を立てましょう。	Okay, let's use this plan as a base and form a plan that can convince the president and the general affairs department.	So, let's plan that can convince the president and general manager.			
安田さん、遅くなってすみません。	Yasuda-san, sorry I am a little late.	Mr. Yamada, sorry for late.			
旅費精算の書類持ってきました。	Here are all the documents for the travel expenses.	I brought the travel costs.			
ありがとう、早かったね。	Thank you, it didn't take you long at all.	Thank you, it was early.			
ただすみません、空港に行くまでの新幹線の領収書をなくしてしまったみたいでして、これってどうにもならないですかね？	I am so sorry, I seem to have lost the receipt for the shinkansen ticket to the airport, is there anything I can do?	I'm sorry, but I just got a lot of bullet train to the airport, so what can it be done?			
新幹線代は大きいもんね。	Shinkansen fare isn't cheap.	The bullet train cost is big.			
領収書をなくした場合は、こっちの書類を記入してもらう必要があるの。	In case of a lost receipt, this different form needs to be filled out.	If you lose the receipt, you need to fill in our documents.			
領収書がない理由も書かなければならないんですね。	I need to write down the reason for the lost item, right?	You have to write a reason for the receipt.			
そうだね、正直に紛失したと書くしかないね。	Yes, you just need to be honest and write you lost it.	Yes, you have to write that you have lost it to be honest.			
分かりました。	I gotcha.	I understood.			
では、今からこれも記入してきますね。	Then I am going to go fill out this form now.	I will fill this out now.			
ちょっと待ってて。	Wait a second.	Wait a little.			
他に記入ミスがないかちょっと確認するね。	Let me check to see everything else is filled out correctly.	Let me see if there is no other way to fill.			
お願いします。	Please do that for me.	Please please.			
ここの現地のホテルの金額ってどのレートを使ってる？	What rate did you use for the local hotel fee?	What rate does the local hotel use?			
ネットで見た今日のレートで計算しました。	I used the rate I saw on the Internet today and calculated it.	I calculated it on the internet today.			
ごめんね、領収書を切ってもらった日のM銀行のレートで計算してもらってもいいかな？	Sorry, can you calculate it using the M bank's rate on the day you got your receipt?	Sorry, can you calculate the rate of the M bank on the day you got the receipt?			
分かりました。	Yes sir.	I understood.			
それ以外は問題なさそうだから、その2点だけ訂正お願いします。	Everything looks great other than that, so please fix those two things.	If it doesn’t seem any problem, just two points to be corrected.			
石井さん、ちょっとすみません。	Ishii-san, do you have a moment?	Hi, I'm sorry to hear that.			
はい、何でしょう。	What is it?	Yes, what is it.			
ついさっき、保育園から電話があって...。	I got a call just a while ago from the nursery.	I just got a call from the garden...			
子供が給食を吐いてしまって、熱を計ったら39度あるそうなんです。	My child vomited out the school lunch and has a fever of 39 degrees.	If a child is just and then it will have 39 degrees.			
あらら、39度！	Oh my, 39 degrees!	Oh, 39 degrees!			
それで、できるだけ早く迎えに来て下さい、ということで...。	Is it alright if I leave work early?	So please come to me as soon as possible.			
この忙しい時期にすみません。	I apologize for asking for such a favor at a busy time.	Sorry for the busy time.			
早退させていただけますか。	I would like to pick my child up as soon as possible.	Can you let me leave early?			
それは心配だね。	You must be worried.	That's a concern.			
早く迎えに行ってあげて下さい。	You can go pick up your child.	Go to pick them up quickly.			
仕事の方は大丈夫？	What about your work, though?	How is your job okay?			
伝票の入力は吉田さんにお願いしました。	I've asked Yoshida-san to take care of inputting the vouchers.	I asked Mr. Yoshida to enter the slip.			
今朝お願いしたA社への見積書は？	What about the quotation form we asked you to send company A this morning?	What's the estimate for Company A I asked you to do this morning?			
もうメール添付で送りました。	I already sent the e-mail.	I sent it by email.			
日報ももう入力済みです。	I've also finished filling out the daily report.	We already have the day news.			
わかりました。	Alright then.	I realized.			
もしインフルエンザとかだったら、しばらくお休みになるかもしれないですよね。	Perhaps you'll have to take a break from work if your child has the flu.	If it's flu, it might be a while.			
そうですね。	I might have to if that's the case.	Yes is.			
でも、まだ保育園ではインフルエンザの話を聞かないので、大丈夫だとは思うんですが...。	But I haven't heard any outbreak of the flu at the nursery, so I think it might be fine.	But I still don't hear the flu in the garden, so I think it’s okay.			
まさかのインフルエンザだった場合は、とりあえず明日はお休みさせていただきます。	If ever my child does have the flu, then I'll have to take the day off tomorrow.	If you have a flu, I will take a day off tomorrow.			
あさっての金曜日は、主人がお休みなので、相談して出勤できるようにします。	My husband has the day off the day after tomorrow on Friday, so I'll make sure to show up to work by then.	On Friday, the owner is on vacation, so he can consult and go to work.			
請求書の出力がありますし。	I still have to finish the outputs for the invoices.	We have the export of the bill.			
そうですか。	I see.	Yes is?			
そうしてもらえると助かります。	It would be a big help then if you could show up on Friday.	If you can do that, it will help.			
とにかく、迎えに行って、そのまま小児科に行ってきます。	I'll go pick my child up then and proceed to the pediatrician.	Anyways, I'm going to take you and go to the into the personal class			
診察が終わったら、明日行けるようでもお休みになるようでも、電話を入れるようにします。	I'll make sure to give a call whether I can come to work or not tomorrow once we have finished with the check-up.	If the examination is over, I will be on vacation tomorrow, but to get a call.			
お願いします。	Alright then.	Please please.			
何でもなく、一晩寝たらケロッと元気になっているといいですね。	I hope your child gets better after a night's rest.	No matter what, I hope you are well all night.			
本当に、そう願います。	I hope so too.	I really hope so.			
では、すみません、失礼します。	I'll be on my way then.	Sorry, I apologize.			
はい、お疲れ様でした。	Alright.	Yes, I was pleased.			
お子さん、お大事にしてください。	I wish the best for your child.	My child, take care of it.			
ありがとうございます。	Thank you.	Thank you.			
ねぇ、ちょっといい？	Hey, do you have time?	Hey, is it a bit better?			
どうしたの？	What's up?	What happened?			
気になってる事があるんだけど・・	I've got something on my mind.	I am worried about something.			
何が？	Such as?	What is?			
最近、上田さんの出す領収書の数がとても増えてきているのよね。	I noticed that Mr. Ueda gives me so many receipts recently.	The number of receipts you have been using recently are increasing.			
それが全部、商談のための諸費用としてのなの。	He says they are for the company meetings.	It is all a cost for the business.			
上田さん、そんなに忙しくしてたっけ？	Has he been so busy these days?	Mr. Ueda, you are so busy?			
私が見る限り、そうだとは思わなかったんだけど。	I didn't think he was so busy as far as I know.	I didn’t think that was the case when I saw it.			
週末は、必ず商談のためと言って、レストランの領収書持ってくるのよ。	He gives me a restaurant receipt every weekend regularly, saying it's for a company meeting.	In the weekend, you will always bring the receipt of the restaurant.			
先週末なんて、あの三ツ星ホテルの中のフレンチのお店だったの。	It was a French restaurant in a three-star-hotel last weekend.	I was a French store in the hotel last weekend.			
えー、なんて贅沢！	Wow, that's luxury.	Oh, that's a waste!			
それに加え、六本木のクラブの領収書までよ。	Also, he gave me a receipt of a nightclub in Roppongi.	In addition, it is a receipt from the send you to the send begin with the			
まあ！	Gosh!	Well!			
こんな事が1ヶ月くらい続いてて、ちょっと怪しいなって思ってるんだけど。	It's been a month, so I've started to feel suspicious.	I think this has been a month or so, and I think it’s a bit suspicious.			
どう思う？	What do you think?	What do you think?			
聞く限りでは、ちょっと怪しいかも。	It sounds a bit dodgy from your story.	As long as you hear, it may be a bit suspicious.			
でしょ？	Yeah.	I see.			
どうしたらいいかな？	What shall I do?	What should I do?			
うーんと・・	Let me see …	Hmm....			
上田さんの取引先はどこだったかしら？	Who is Mr. Ueda's client?	Where was the customer of Ueda?			
U商社よ。	Trading company U.	The company.			
あれ、U商社との商談は２週間前にまとまったって聞いてるけど。	Eh, I've heard we had closed the deal with company U two weeks ago.	I’ve heard that the business meeting with the U-s ceremony has been accepted two weeks ago.			
そうだったの？	Is that so?	Was it so?			
私、確認の書類探してくるね。	I'll find a paper to confirm.	I'm going to find the confirmation documents.			
それを持って行って、上田さんに詳細を確認したらどう？	Why don't you take the paper and talk to Mr. Ueda to check the details?	Let me take that and check the details to Mr. Ueda.			
でも、ちょっと心細いな。	Well, I'm not sure if I can do it.	But a little bit too narrow.			
上田さんは、支店長に気に入られているからといって、私たちには、横暴なところがあるから。	He is bit a domineering to us as he is a branch manager's favourite.	If you like the branch manager, we have a rough place.			
確かにね。	True.	Sure.			
私も、何度も嫌な思いしてるわ。	I've been offended by him many times.	I hate it many times too.			
そうだ、山本主任に相談して見たら？	Oh, how about speaking to Ms. Yamamoto for help?	If you’d like to consult with the head of Yaman, what if you’			
それいい考え！	Ah, good idea!	That's a good idea!			
山本さんは、上田さんより勤務歴が長いしね。	She's been working here longer than Mr. Ueda.	Mr. Yaman has a long history of work than Mr. Ueda.			
彼女の言うことなら、上田さんも素直に聞くかもしれないね。	He might be listening to her obediently.	If you say her, you may be able to ask it.			
そうよ、もしその領収書が私用で使われたものだとしたら、とんでもないことだもの。	Yes, it'll be so wrong if the receipts were for private use.	Yes, if the receipt was used for me, it would be great.			
早速、山本さんに相談してくるね。	I'll have a word with Ms.Yamamoto now.	I'm going to talk to Yamamoto-san soon.			
うん、頑張ってね。	Good luck.	Yes, do it hard.			
ありがとう。	Thanks.	thank you.			
今日は、慈善活動について話し合いたいと思います。	Today we'd like to discuss our charity activities.	Today I want to talk about the personal activities.			
ご存知の通り、当社では年に一度発展途上国に行き、慈善活動をしていますね。	As you know, we go to a developing country every year for charity work.	As you know, we go to the for a year to the has been in the under selling best create a personal			
それ以外に、何ができると思いますか？	In addition to that, what else can we do?	What do you think can do except that?			
それは、国外限定でしょうか？	Is that limited to overseas activities?	Is that a limited country?			
それとも、国内でもいいのですか？	Or can we do something here?	Or can you be in the country?			
どちらでもいいですよ。	Either will do.	Which is good.			
意見を聞かせてください。	Any ideas?	Let me hear your opinion.			
私は、国内でのことですが。	I have something for domestic activities.	I am in the country.			
会社でフードドネーションを募るというのはどうでしょうか？	How about making a food donation as a company.	How about we increase the Food since we're in the company?			
普段は仕事で忙しいので、どこかに行くというのは難しいと思います。	As we are all busy working, it's not easy to be away.	I'm usually busy with work, so it's hard to go somewhere.			
会社に大きな箱を設けて、使わない缶詰や、保存食を持って来て入れてもらう。	So we could put a large box and ask the employees to bring in some unwanted tinned or preserved food.	We will set up a large box for the company and bring it in with canned food and food.			
これなら負担なくできるのでは？	I don't think it would cause much trouble.	Can you lose the burden?			
それはいい考えだと思います。	That's a good idea.	I think that is a good idea.			
以前、子供の学校でその様なフードドネーションウィークがありました。	My kid's school had a food donation week before.	There was a early food week like that at school of young children.			
かなりの数が集まったと聞きしたよ。	I heard they collected loads of donation.	I heard that there were a lot of people.			
集まった食べ物はその後どうするのですか？	Where do we donate the collected food?	What will the food you gathered after that?			
近くの教会に寄付をしては？	We could bring them in to a local church.	How about we give it to the nearby?			
または、フードバンクをしているボランティア団体に持って行くのもいいのでは？	Or, we could send them to a volunteer group offering a food bank.	Or do you want to bring it to a volunteer organization that does the Food isn't it?			
いいですね。	Sounds good.	Well well well.			
確かに、わが町にもたくさんの路上生活者や、生活困窮者がいますもんね。	Actually, we can see lots of homeless or people on benefits in our area.	Of course, there are a lot of people in our town, and life problems.			
身近な人を助けるというのは、とても大事なことですよね。	It's very important to help our neighbours, isn't it?	It is important to help people close to you.			
実は、うちに使っていないたくさんの缶詰があるんです。	I have many unopened tinned food at home.	In fact, there are a lot of canned food that we don’t use			
うちもですよ。	So do I.	We are too.			
もしもの時用に買っていて、全然使っていませんでした。	I stocked up some for the emergency, but forgot to use them up.	I bought it for the time and I did not use it at all.			
きっと社内でも、その様な人がたくさんいるでしょうね。	Maybe more people in our office are similar.	There will be a lot of people within the company.			
そうだ。	Oh!	Yes is.			
もう着れなくなった衣類も持って来てもらったらどうでしょう。	How about asking everybody to bring along the old clothes as well?	How about bring the clothes you are not able to wear.			
特に、子供服は助かると思います。	Particularly, children's clothing is in demand.	Especially, I think your kid’s clothes will help.			
賛成！	Agree!	I agree!			
子供服は、すぐサイズが着れなくなってしまうし。	Kids quickly grow out of the clothes.	The child’s clothes will not be able to wear it immediately.			
喜んでもらえることは、間違いないと思います。	So, I'm sure kids' clothes will be well accepted.	I think it’s no mistake to be happy.			
そうしましょう。	Okay, then we'll do.	Let's do that.			
では、社内でドネーションを募るという事に決まりですね。	So, we've agreed to ask donation of food and clothing internally.	So, we decided to increase the dot within the company.			
早速、社内メールを作って、みんなに配布します。	I'll work on an e-mail message and send it out to the employees.	I will make an internal email and distribute it to everyone.			
二週間後の、月曜日から始めるというのはどうでしょうか？	Is it okay if we start on Monday the week after.	How about starting after two weeks?			
いいと思います。	Yes.	I think it is good.			
私は、ドネーションを入れる箱を用意しますね。	I'll find a box for the donation.	I will get the box that will be included.			
助かります。	Thanks.	I will help.			
たくさん集まるといいですね。	I hope we will have a lot of donation.	I hope you will get together.			
そうですね。	Indeed.	Yes is.			
N社の玉元です。	Hi this is Tamamoto from Company N.	It's the company’s training.			
玉元さん、渋谷です。	Hi Tamamoto-san, this is Shibuya.	Hi, this is but it's already in touch.			
渋谷さん、お疲れ様です。	Hope you are well Shibuya-san.	Mr. Tani just got a good day.			
ちょっと頼みたいことがあるけどいいかな？	Is it okay if I ask for a small favor?	I have something to ask, but do you think?			
はい、なんでしょうか。	Yes, what is it?	Yes, what is it?			
明日の東京出張の飛行機の便、変更できるならしてもらえないかな？	Can I ask you to change my flight for my business trip to Tokyo tomorrow?	Can you change the flight of the trip tomorrow?			
急に午前中に商談に行かないといけなくなってさ。	I suddenly have to go for a business meeting in the morning.	I suddenly have to go to the meeting in the morning.			
わかりました、予定はJ航空の8時半名古屋発でしたっけ？	Okay, you're currently taking the one departing Nagoya at eight thirty via Airline B?	Okay, is your schedule from J and to Nagoya?			
いや違うな、8時ちょうど発のA航空だよ。	No, it's the one leaving around 8 o'clock via Airline A.	No, it's just an trip from 8 o'clock.			
そうなんですね、午後の出発ならいつでもいいんでしょうか？	Okay, will any flight departing in the afternoon work?	Yes, is it possible if you leave in the afternoon?			
そうだね、商談は9時からだから2時間として12時半以降ならどの便でもいい。	Yeah, the business meeting is from 9 o'clock and should take 2 hours so any flight after twelve thirty will be good.	Yes, the meeting is from 9 p.m. and it is after 12 thirty.			
ただ東京出張でも時間が沢山あったほうがいいので午後早めの便がいいかな。	But it would be better if I have more time for the business trip to Tokyo so maybe an earlier flight in the afternoon would be good.	It is better for a lot of time to travel to Tokyo, so it’s better to be early in the afternoon.			
うーん、ANAの午後便で今見たところ1番早い空席が17時発ですね。	Hmm, I just checked the flight for Airline A and the earliest available flight is from 5 o'clock.	Hmm, the first thing I have seen was at the last one of the emails in the afternoon of the Ana.			
そんなに埋まっているのかい？	Is it that full?	Are you so much covered?			
残念ですがそのようですね。	Unfortunately yes.	Unfortunately, it seems that.			
JALでも見てみましょうか？	Should I take a look at Airline B?	Let's see the Kyle too?			
頼むよ、17時は流石に遅すぎる。	Yes, please, 5 o'clock is a bit too late.	Please, at 17 p.m. is too late to the work.			
お待たせしました、JALでもこの日は夕方まで満席ですね。	Thank you for waiting, it seems Airline B is fully booked until the evening.	I let you wait, but this day is full until the evening.			
何かイベントでもあるんでしょうかね。	I wonder if there is some event or something.	Is there any event?			
困ったなあ、LCCとかでもないかな？	That's no good, is there any with the LCC?	It’s hard, is it not a L each other?			
LCC便ですね、お待ちください。	LCC flights, let me check.	It's L them, please wait.			
やっぱりありませんね、新幹線はどうなんですか？	No there aren't any, how about the bullet train?	Well, what about the bullet train?			
新幹線は不便だからあまり好きではないんだよな。	The bullet train isn't convenient so I'm actually not fond of it.	The bullet train is uncomfortable, so I don’t like it much.			
そうはいってもこの場合仕方ないんではありませんか？	Yeah, but what else can we do?	But it doesn't work like this?			
うーん、先方に連絡して商談は後日にしてもらうよ。	Hmm, I'll call the person I'm meeting and will ask to shift the business meeting to a later date.	Hmm, I'll contact the previous client and get the meeting on the next day.			
なので予約はこのままで大丈夫。	So you can leave the reservation as is.	So the reservation is okay.			
承知しました。	Understood.	I realized.			
それとあと一つ頼んでいいかな？	And can I ask you to do one more thing?	Can I ask you one thing?			
はい、なんでしょうか？	Yes, what is it?	Yes, what is it?			
明日の東京でのホテルなんだけど予約確認メール見たら喫煙ルームになってるんだよ。	It's in regards to the hotel in Tokyo tomorrow, I was looking at the confirmation email and noticed that it was a smoking room.	It’s a hotel in Tokyo tomorrow, but if you see it, it’s a smoking room.			
俺が自分で予約した時にミスったんだと思う。	I must have made a mistake when I booked it.	I think I made a mistake when I made my reservation myself.			
ホテルに連絡して、禁煙ルームが空いてるなら部屋変更を頼んどいてもらえないかな？	Can you call the hotel and ask if there are non-smoking rooms available, and if so can you change the room?	If you are free to contact the hotel and can you change your room?			
わかりました、どこのホテルでしょうか？	Okay, which hotel is it?	Okay, where is the hotel?			
銀座のNホテルだ。	It's Hotel N in Ginza.	It's a N Hotel in Ginseng talking about.			
